electrode	x	y
457	495	-90
458	555	-90
459	615	-90
460	675	-90
461	735	-90
462	795	-90
463	855	-90
464	915	-90
465	525	-150
466	585	-150
467	645	-150
468	705	-150
469	765	-150
470	825	-150
471	885	-150
472	945	-150
473	495	-210
474	555	-210
475	615	-210
476	675	-210
477	735	-210
478	795	-210
479	855	-210
480	915	-210
481	525	-270
482	585	-270
483	645	-270
484	705	-270
485	765	-270
486	825	-270
487	885	-270
488	945	-270
489	495	-330
490	555	-330
491	615	-330
492	675	-330
493	735	-330
494	795	-330
495	855	-330
496	915	-330
497	525	-390
498	585	-390
499	645	-390
500	705	-390
501	765	-390
502	825	-390
503	885	-390
504	945	-390
505	495	-450
506	555	-450
507	615	-450
508	675	-450
509	735	-450
510	795	-450
511	855	-450
512	915	-450
